AM_STRT_NAME,AM_DRNR,COL_DES,COLO_ZIPCODE,CIUDAD,ESTADO,COD_PAIS,DELMUN,state,county,city,district,street,houseNumber,postalCode,reference,lat,lng,score,prev_score,PP_calle,PP_numero,PP_cp,PP_latitud,PP_longitud,PP_ciudad,PP_colonia,PP_neighborhood,PP_state,PP_estado,PP_country_code,PP_cp_num,PP_diferencia,PP_alcaldia,PP_method
AVENIDA TERRANOVA,533,VILLAS TERRANOVA,45650.0,TLAJOMULCO DE ZUÑIGA,JALISCO,MEXICO,TLAJOMULCO DE ZUÑIGA,Jalisco,Tlajomulco de Zúñiga,Tlajomulco de Zúñiga,Villas Terranova,Avenida Terranova,533,45650.0,,20.4969,-103.41011,0.99,1.0,Avenida Terranova,533.0,45650,20.4969375,-103.4098536,None,Lomas del Sur,Villas Terranova,Jal.,Jalisco,MX,45650.0,0.0,,EXACT
AV. YAXCHÉ,SMZA 256 MZA 8 ,PRADO NORTE (SUPERMANZANA 256),77539.0,CANCUN,QUINTANA ROO,MEXICO,BENITO JUAREZ,Quintana Roo,Benito Juárez,Cancún,Prado Norte (Supermanzana 256),Avenida Yaxché,Mza 8,77539.0,Supermanzana 256,21.16385,-86.91474,0.99,0.5,Avenida Playas,2.0,77539,21.1394323,-86.9201298,Cancún,None,None,Q.R.,Quintana Roo,MX,77539.0,6.0,,FUZZ
VALLE DEL RODANO,56,VALLE DE ARAGON 3RA SECCION ORIENTE,55280.0,ECATEPEC DE MORELOS,ESTADO DE MEXICO,MEXICO,ECATEPEC DE MORELOS,México,Ecatepec de Morelos,Ecatepec de Morelos,Valle de Aragón 3ra Sección Oriente,Valle del Ródano,56,55280.0,,19.499829,-99.0432887,0.3,0.3,Valle de Ródano,113.0,55280,19.4848497,-99.042371,Ecatepec de Morelos,Valle de Aragon 2da Sección,None,Méx.,Estado de México,MX,55280.0,57.0,,FUZZ
C RIO CHICHIPICAS 90,0,SAN PEDRO CHOLULA,52757.0,SAN PEDRO CHOLULA,ESTADO DE MEXICO,MEXICO,OCOYOACAC,México,Ocoyoacac,Ocoyoacac,San Pedro Cholula,Río Chichipicas,90,52757.0,,19.25723,-99.47643,0.99,0.8,Ignacio Zaragoza,3.0,52757,19.2656697,-99.4859928,San Pedro Cholula,San Pedro Cholula,None,Méx.,Estado de México,MX,52757.0,87.0,,FUZZ
"ORIENTE 235A, #71. ENTREGA EN: , PISO: , ACCESIBLE POR: , ENTRE CALLES: SUR 20-R",71,AGRICOLA ORIENTAL,8500.0,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MEXICO,IZTACALCO,Ciudad de México,Iztacalco,Ciudad de México,Agrícola Oriental,Oriente 235A,71,8500.0,71,19.39038,-99.07888,1.0,1.0,CALLE ORIENTE 235,71.0,8500,19.3906350367,-99.079494689,,agricola oriental,,,,,8500.0,0.0,iztacalco,FUZZ
AV UNIVERSIDAD #6000-3B JARDINES UNIVERSIDAD,--,VILLA LA CIMA,45110.0,ZAPOPAN,JALISCO,MEXICO,ZAPOPAN,Jalisco,Zapopan,Zapopan,Jardines Universidad,Avenida Universidad,6000-3B,45110.0,Villa la Cima,20.7032321,-103.4209606,1.0,1.0,Avenida Universidad,2866.0,45110,20.703538,-103.4377964,Zapopan,None,None,Jal.,Jalisco,MX,45110.0,3134.0,,EXACT
CALLE PEDRO MORENO MZ 25 LG 16 ,B,LAS AMERICAS,55076.0,ECATEPEC DE MORELOS,ESTADO DE MEXICO,MEXICO,ECATEPEC DE MORELOS,México,Ecatepec de Morelos,Ecatepec de Morelos,Las Américas,Calle Pedro Moreno,Mz 25 Lg 16 B,55076.0,,19.59089,-99.01525,0.97,0.5,Calle Pedro Moreno,25.0,55076,19.5907934,-99.0146896,Ecatepec de Morelos,Las Américas,Fraccionamiento Las Americas,Méx.,Estado de México,MX,55076.0,0.0,,EXACT
LAZARO CARDENAS,1914,BUENAVISTA NORTE,26040.0,PIEDRAS NEGRAS,COAHUILA,MEXICO,PIEDRAS NEGRAS,Coahuila de Zaragoza,Piedras Negras,Piedras Negras,Buenavista Norte,Lázaro Cárdenas,1914,26040.0,,28.69304,-100.5356,0.94,0.5,Avenida Lazaro Cardenas,1715.0,26040,28.6908792,-100.5381993,Piedras Negras,Buena Vista Sur,None,Coah.,Coahuila de Zaragoza,MX,26040.0,199.0,,FUZZ
AV. BENITO JUAREZ,502,TIERRA BLANCA CENTRO,95100.0,TIERRA BLANCA,VERACRUZ,MEXICO,TIERRA BLANCA,Veracruz de Ignacio de la Llave,Tierra Blanca,Tierra Blanca,Tierra Blanca Centro,Avenida Benito Juárez,502,95100.0,,18.44774,-96.35805,1.0,1.0,Benito Juárez,508.0,95100,18.4478587,-96.3579649,Tierra Blanca,Centro,None,Ver.,Veracruz,MX,95100.0,6.0,,FUZZ
CRUZ VERDE 350 LOTE 8,-,SECTOR SACROMONTE,56900.0,SECTOR SACROMONTE,ESTADO DE MEXICO,MEXICO,AMECAMECA,México,Amecameca,Amecameca,Sector Sacromonte,Cruz Verde,350 Lote 8,56900.0,,19.1187585,-98.7608901,1.0,1.0,Calle Cruz Verde,350.0,56900,19.1185494,-98.7606776,Amecameca de Juárez,Amecameca,None,Méx.,Estado de México,MX,56900.0,0.0,,SUB
