AM_STRT_NAME,AM_DRNR,COL_DES,COLO_ZIPCODE,CIUDAD,ESTADO,COD_PAIS,DELMUN,state,county,city,district,street,houseNumber,postalCode,reference,lat,lng,score,prev_score,PP_calle,PP_numero,PP_cp,PP_latitud,PP_longitud,PP_ciudad,PP_colonia,PP_neighborhood,PP_state,PP_estado,PP_country_code,PP_cp_num,PP_diferencia,PP_alcaldia,PP_method
BLVD COSTERO,800,FLAMINGOS,63732.0,BUCERIAS,NAYARIT,MEXICO,BAHIA DE BANDERAS,Nayarit,Bahía de Banderas,Bucerías,Flamingos,Boulevard Costero,800,63732.0,,20.7395481,-105.3200702,0.5,0.5,Boulevard Costero,800.0,63732,20.7391973,-105.3206877,Nuevo Vallarta,Flamingos,Flamingos,Nay.,Nayarit,MX,63732.0,0.0,,EXACT
AV XANA CONDOMINIO FLAMINGO,542 INT 23A,XANA,91726.0,VERACRUZ,VERACRUZ,MEXICO,VERACRUZ,Veracruz de Ignacio de la Llave,Veracruz,Veracruz,Xana,Avenida Xana,Condominio Flamingo 542,91726.0,Interior 23A,19.1594766,-96.1809877,1.0,0.5,Avenida Xana,542.0,91726,19.1595915,-96.1804521,None,None,None,Ver.,Veracruz,MX,91726.0,0.0,,EXACT
PRIVADA RUBEN DARIO 16 - 8,.,CIPRESES  ZAVALETA,72150.0,PUEBLA,PUEBLA,MEXICO,PUEBLA,Puebla,Puebla,Puebla,Cipreses Zavaleta,Privada Rubén Darío,16 - 8,72150.0,,19.0618,-98.2574,0.98,1.0,Rubén Darío,13.0,72150,19.0618511,-98.2569558,Heroica Puebla de Zaragoza,Zavaleta,Ciprés de Zavaleta,Pue.,Puebla,MX,72150.0,3.0,,FUZZ
EDIFICIO QUIMMCO AV DEL ROBLE,701,VALLE DEL CAMPESTRE,66265.0,SAN PEDRO GARZA GARCIA,NUEVO LEON,MEXICO,SAN PEDRO GARZA GARCIA,Nuevo León,San Pedro Garza García,San Pedro Garza García,Valle Del Campestre,Avenida Del Roble,701,66265.0,Edificio Quimmco,25.65029,-100.35333,0.96,1.0,Avenida del Roble,701.0,66265,25.6506026,-100.3532105,San Pedro Garza García,Valle del Campestre,None,N.L.,Nuevo León,MX,66265.0,0.0,,EXACT
CARRETERA ENSENADA A OJOS NEGROS,2544,AGUAJITO,22842.0,ENSENADA,BAJA CALIFORNIA,MEXICO,ENSENADA,Baja California,Ensenada,Ensenada,Aguajito,Carretera Ensenada a Ojos Negros,2544,22842.0,,31.8742598,-116.576109,0.8,0.8,Isla Todos Santos Este,0.0,22842,31.8629809,-116.5470835,None,None,El Roble,B.C.,Baja California,MX,22842.0,2544.0,,FUZZ
ASXDCFVG,ADSFGHJ,TULUM CENTRO,77760.0,TULUM CENTRO,QUINTANA ROO,MEXICO,TULUM,Quintana Roo,Tulum,Tulum,Tulum Centro,Asxdcfvg,Asdfghj,77760.0,,20.2125527,-87.45839939999999,0.3,0.3,Calle Asteroide,3.0,77760,20.2083757,-87.4593908,Tulum,None,Tulum Centro,Q.R.,Quintana Roo,MX,77760.0,3.0,,FUZZ
CALLE YEHUALA,1-E,MISIONES DE SAN FRANCISCO,72712.0,MISIONES DE SAN FRANCISCO,PUEBLA,MEXICO,CUAUTLANCINGO,Puebla,Cuautlancingo,Cuautlancingo,Lazos de San Francisco,Calle Yehuala,1-E,72712.0,Misiones de San Francisco,19.1501604,-98.2658462,0.5,0.3,La Polvorilla,30.0,72712,19.1483547,-98.258823,None,None,Misiones de San Francisco,Pue.,Puebla,MX,72712.0,29.0,,FUZZ
DIONISIO RODRIGEZ,720,OBLATOS,44700.0,GUADALAJARA,JALISCO,MEXICO,GUADALAJARA,Jalisco,Guadalajara,Guadalajara,Oblatos,Dionisio Rodríguez,720,44700.0,,20.67339,-103.32681,0.98,0.98,Calle Dionisio Rodríguez,729.0,44700,20.6734997,-103.3268741,Guadalajara,Oblatos,None,Jal.,Jalisco,MX,44700.0,9.0,,SUB
BOULEVARD BERNANDO QUINTANA ARRIOJA,4056,SAN PABLO TECNOLOGICO,76150.0,QUERETARO,QUERETARO,MEXICO,QUERETARO,Querétaro,Querétaro,Querétaro,San Pablo Tecnológico,Boulevard Bernardo Quintana Arrioja,4056,76150.0,,20.61772,-100.40613,0.98,0.8,Boulevard Bernardo Quintana Arrioja,4113.0,76150,20.6154171,-100.3979359,Santiago de Querétaro,San Pablo Tecnologico,None,Qro.,Querétaro,MX,76150.0,57.0,,EXACT
AV. UNION MANZANA 32,LOTE 20,POPULAR SANTA TERESA,14160.0,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MEXICO,TLALPAN,Ciudad de México,Tlalpan,Ciudad de México,Popular Santa Teresa,Avenida Unión,Manzana 32 Lote 20,14160.0,,19.30335,-99.22097,0.99,0.99,AVENIDA UNION,0.0,14160,19.3031029074,-99.2211516638,,popular santa teresa,,,,,14160.0,32.0,tlalpan,FUZZ
AMPARO CASILLAS DE ENRIQU,0,RESIDENCIAL ESMERALDA,28017.0,COLIMA,COLIMA,MEXICO,COLIMA,Colima,Colima,Colima,Residencial Esmeralda,Amparo Casillas de Enriqu,,28017.0,,19.27157,-103.71276,0.95,0.3,Calle Ignacio Manuel Altamirano,1121.0,28017,19.25196,-103.7108937,Colima,Jardines Vista Hermosa III,None,Col.,Colima,MX,28017.0,1121.0,,FUZZ
CALLE FERNANDO MONTÉS DE OCA,31,EL DERRAME,40050.0,IGUALA,GUERRERO,MEXICO,IGUALA DE LA INDEPENDENCIA,Guerrero,Iguala de la Independencia,Iguala de la Independencia,El Derrame,Calle Fernando Montes de Oca,31,40050.0,,18.3431858,-99.5204544,1.0,1.0,Cerrada Guerrero Oriente,0.0,40050,18.3492339,-99.5226211,Iguala de la Independencia,None,None,Gro.,Guerrero,MX,40050.0,31.0,,FUZZ
AVENIDA HIDALGO,43,CENTRO INDUSTRIAL TLALNEPANTLA,54030.0,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,MEXICO,TLALNEPANTLA DE BAZ,México,Tlalnepantla de Baz,Tlalnepantla de Baz,Centro Industrial Tlalnepantla,Avenida Hidalgo,43,54030.0,,19.5414989,-99.1944356,1.0,1.0,Avenida Hidalgo,47.0,54030,19.5468288,-99.1942283,Tlalnepantla de Baz,Habitacional la Romana,None,Méx.,Estado de México,MX,54030.0,4.0,,EXACT
NORTE 21A #5267 COL. NUEVA VALLEJO NUEVA VALLEJO,--,NUEVA VALLEJO,7750.0,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MEXICO,GUSTAVO A MADERO,Ciudad de México,Gustavo A. Madero,Ciudad de México,Nueva Vallejo,Norte 21A,5267,7750.0,Colonia Nueva Vallejo,19.48753,-99.14891,1.0,1.0,NORTE 21 A,5267.0,7750,19.4874563046,-99.1488415893,,nueva vallejo,,,,,7750.0,0.0,gustavo a. madero,FUZZ
2702 CARRETERA IMALA,4,FLORESTA,80014.0,CULIACAN,SINALOA,MEXICO,CULIACAN,Sinaloa,Culiacán,Culiacán,Floresta,Carretera Imala,2702,80014.0,,24.8373411,-107.3623397,1.0,1.0,Carretera a Imala,4435.0,80014,24.8492599,-107.3529153,Culiacán Rosales,38 Sfera Residencial,None,Sin.,Sinaloa,MX,80014.0,1733.0,,FUZZ
"MEDICINA 32, #32. ENTREGA EN: , PISO: , ACCESIBLE POR: , ENTRE CALLES: , REFEREN",32,INDUSTRIAL,76130.0,QUERETARO,QUERETARO,MEXICO,QUERETARO,Querétaro,Querétaro,Querétaro,Industrial,Medicina,32,76130.0,,20.61994,-100.42877,0.99,1.0,Economía,31.0,76130,20.6182379,-100.4281027,Santiago de Querétaro,Industrial,None,Qro.,Querétaro,MX,76130.0,1.0,,FUZZ
"ARROYO EL MOLINO, #1011 EDIF1 INT: PISO 3. ENTREGA EN: , PISO: , ACCESIBLE POR: ",1011 EDIF1 PISO,SAN TELMO,20115.0,AGUASCALIENTES,AGUASCALIENTES,MEXICO,AGUASCALIENTES,Aguascalientes,Aguascalientes,Aguascalientes,San Telmo,Arroyo El Molino,1011,20115.0,"Edificio 1 Interior: Piso 3, 1011 Edificio 1 Piso",21.93446,-102.30389,0.94,0.3,Molino,310.0,20115,21.9254242,-102.3044807,Aguascalientes,Valle de las Trojes,None,Ags.,Aguascalientes,MX,20115.0,701.0,,FUZZ
AV 4 PTE,1302,PUEBLA CENTRO,72000.0,PUEBLA,PUEBLA,MEXICO,PUEBLA,Puebla,Puebla,Puebla,Puebla Centro,Avenida 4 Poniente,1302,72000.0,,19.05092,-98.2067,0.93,1.0,Avenida 4 Poniente,1302.0,72000,19.0511756,-98.2064449,Heroica Puebla de Zaragoza,Centro,None,Pue.,Puebla,MX,72000.0,0.0,,EXACT
COFRE DE PEROTE NO.354,INT. C-105,LOMAS DE CHAPULTEPEC I SECCION,11000.0,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MEXICO,MIGUEL HIDALGO,Ciudad de México,Miguel Hidalgo,Ciudad de México,Lomas de Chapultepec I Sección,Cofre de Perote,354,11000.0,Interior C-105,19.42426,-99.22537,1.0,1.0,MOYA DE CONTRERAS,245.0,11000,19.4134331043,-99.2153659817,,lomas de chapultepec 4 seccion,,,,,11000.0,109.0,miguel hidalgo,FUZZ
PORTAL BENITO JUAREZ (MERCADERES) #1 LOC.5,#1 LOC.5,OAXACA CENTRO,68000.0,OAXACA,OAXACA,MEXICO,OAXACA DE JUAREZ,Oaxaca,Oaxaca de Juárez,Oaxaca de Juárez,Oaxaca Centro,Portal Benito Juárez (Mercaderes),1 Loc. 5,68000.0,Loc. 5,17.097064,-96.7060139,0.5,1.0,Avenida Benito Juárez,32.0,68000,17.0613794,-96.7216082,Oaxaca de Juárez,Centro,None,Oax.,Oaxaca,MX,68000.0,31.0,,FUZZ
BLVD. ANGEL ALBINO CORZO 936 #0, ,BIENESTAR SOCIAL,29077.0,TUXTLA GUTIERREZ,CHIAPAS,MEXICO,TUXTLA GUTIERREZ,Chiapas,Tuxtla Gutiérrez,Tuxtla Gutiérrez,Bienestar Social,Boulevard Ángel Albino Corzo,936 0,29077.0,,16.74874,-93.09109,0.93,1.0,Boulevard Ángel Albino Corzo,894.0,29077,16.7488613,-93.0914664,Tuxtla Gutiérrez,Bienestar Social,None,Chis.,Chiapas,MX,29077.0,42.0,,EXACT
"C PINO SUÁREZ EMILIANO ZAPATA 51355, #108. ENTREGA EN: , PISO: , ACCESIBLE POR:",108,EMILIANO ZAPATA,51355.0,EMILIANO ZAPATA,ESTADO DE MEXICO,MEXICO,ZINACANTEPEC,México,Zinacantepec,Emiliano Zapata,Emiliano Zapata,Pino Suárez,108,51355.0,,19.29377,-99.70013,0.99,0.8,Benito Juárez,107.0,51355,19.2987696,-99.7367785,San Miguel Zinacantepec,006,None,Méx.,Estado de México,MX,51355.0,1.0,,FUZZ
PARROQUIA,64,JEREZ CENTRO,99300.0,JEREZ,ZACATECAS,MEXICO,JEREZ,Zacatecas,Jerez,Jerez,Jerez Centro,Parroquia,64,99300.0,,22.64581,-102.99034,1.0,0.93,De La Parroquia,66.0,99300,22.6457638,-102.9903686,Jerez de García Salinas,Zona Centro,None,Zac.,Zacatecas,MX,99300.0,2.0,,SUB
1 MAYO,38,SANTA CRUZ DEL VALLE,45655.0,TLAJOMULCO DE ZUÑIGA,JALISCO,MEXICO,TLAJOMULCO DE ZUÑIGA,Jalisco,Tlajomulco de Zúñiga,Tlajomulco de Zúñiga,Santa Cruz del Valle,1 de Mayo,38,45655.0,,20.54718,-103.3338,1.0,0.5,1 de Mayo,0.0,45655,20.54668,-103.33916,Santa Cruz del Valle,None,None,Jal.,Jalisco,MX,45655.0,38.0,,EXACT
CALLE 29,206 ,LOMAS DE CASA BLANCA,76080.0,QUERETARO,QUERETARO,MEXICO,QUERETARO,Querétaro,Querétaro,Querétaro,Lomas De Casa Blanca,Calle 29,206,76080.0,,20.57424,-100.3952,1.0,1.0,Calle 29,603.0,76080,20.5700506,-100.3935488,Santiago de Querétaro,Lomas de Casa Blanca,None,Qro.,Querétaro,MX,76080.0,397.0,,EXACT
SIERRA SAN PEDRO MARTIR,4850,PORTICOS DEL LAGO,22214.0,TIJUANA,BAJA CALIFORNIA,MEXICO,TIJUANA,Baja California,Tijuana,Tijuana,Pórticos del Lago,Sierra San Pedro Mártir,4850,22214.0,,32.50671,-116.92161,0.95,0.8,Sierra San Miguel,21846.0,22214,32.5125136,-116.9163038,Tijuana,Ampliación Guaycura,None,B.C.,Baja California,MX,22214.0,16996.0,,FUZZ
CERRO DEL ÁGUILA,313,EL FUNDADOR,66414.0,SAN NICOLAS DE LOS GARZA,NUEVO LEON,MEXICO,SAN NICOLAS DE LOS GARZA,Nuevo León,San Nicolás de los Garza,San Nicolás de los Garza,El Fundador,Cerro Del Águila,313,66414.0,,25.75702,-100.27393,0.97,1.0,Calle Cerro del Águila,313.0,66414,25.7570005,-100.2740123,San Nicolás de los Garza,El Fundador,None,N.L.,Nuevo León,MX,66414.0,0.0,,SUB
"PERIFÉRICO DE MÉRIDA LICENCIADO MANUEL BERZUNZA CAMOECHE, SUR SALIDA CARRETERA A",SN,BRISAS DE UMAN,97390.0,BRISAS DE UMAN,YUCATAN,MEXICO,UMAN,Yucatán,Umán,Umán,Brisas de Umán,Periférico de Mérida Licenciado Manuel Berzunza Camoeche,Sur Salida Carretera a Sn,97390.0,,20.9260643,-89.6892387,0.5,0.5,metros dela casa del agua,142.0,97390,20.8931876,-89.7334884,Umán,Umán,San Lorenzo,Yuc.,Yucatán,MX,97390.0,142.0,,FUZZ
CALLE MATORRALES  12 FRACCIONAMIENTO LAS PRADERAS HUATABAMPO,12,EL PORVENIR,85243.0,EL PORVENIR,SONORA,MEXICO,HUATABAMPO,Sonora,Huatabampo,Huatabampo,El Porvenir,Calle Matorrales,12,85243.0,Fraccionamiento Las Praderas 12,26.8452695,-109.6496095,0.3,0.5,,,,,,,,,,,,,,,
VILLA MADERO 843,0,VILLAS ZARAGOZA,27277.0,TORREON,COAHUILA,MEXICO,TORREON,Coahuila de Zaragoza,Torreón,Torreón,Villas Zaragoza,Villa Madero,843,27277.0,,25.51265,-103.3507,0.99,1.0,Calle Villa Colorado,884.0,27277,25.5108014,-103.3516388,Torreón,Villas de Zaragoza,None,Coah.,Coahuila de Zaragoza,MX,27277.0,41.0,,FUZZ
CAMPER BLANCO PLACA TERMINADA,51A,SINALOA DE LEYVA CENTRO,81910.0,SINALOA DE LEYVA,SINALOA,MEXICO,SINALOA,Sinaloa,Sinaloa,Sinaloa de Leyva,Sinaloa de Leyva Centro,Camper Blanco,Placa Terminada 51A,81910.0,,25.8221354,-108.2221829,0.3,0.3,Francisco I. Madero,31.0,81910,25.8238615,-108.2190085,Sinaloa de Leyva,Centro,None,Sin.,Sinaloa,MX,81910.0,20.0,,FUZZ
CALLE JAZMINES 621 A,,REFORMA,68050.0,OAXACA,OAXACA,MEXICO,OAXACA DE JUAREZ,Oaxaca,Oaxaca de Juárez,Oaxaca de Juárez,Reforma,Calle Jazmines,621 A,68050.0,,17.07809,-96.71352,0.97,1.0,Calle Jazmines,617.0,68050,17.0778617,-96.7136337,Oaxaca de Juárez,Reforma,None,Oax.,Oaxaca,MX,68050.0,4.0,,EXACT
CALLE 37,464-A-X 50 Y 52,MERIDA CENTRO,97000.0,MERIDA,YUCATAN,MEXICO,MERIDA,Yucatán,Mérida,Mérida,Mérida Centro,Calle 37,464-A-X,97000.0,Entre 50 Y 52,20.9803069,-89.61346429999999,1.0,1.0,Calle 37,464.0,97000,20.9805441,-89.6131229,Centro,Centro,None,Yuc.,Yucatán,MX,97000.0,0.0,,EXACT
CAMINO REAL TELTENZINGO CALDERON #23 CENTRO COMERCIAL LOS ATRIOS LOC.120,#23,TIERRA LARGA,62757.0,TIERRA LARGA,MORELOS,MEXICO,CUAUTLA,Morelos,Cuautla,Cuautla,Tierra Larga,Camino Real Tetelcingo Calderón,23,62757.0,Centro Comercial Los Atrios Loc. 120 #23,18.8579876,-98.9450353,0.5,1.0,Interna de La U Hab Tetelcingo,23.0,62757,18.8726391,-98.9236935,Cuautla,INFONAVIT Tetelcingo,None,Mor.,Morelos,MX,62757.0,0.0,,FUZZ
HEROICO COLEGIO MILITAR,103,NUEVA VIZCAYA,34080.0,DURANGO,DURANGO,MEXICO,DURANGO,Durango,Durango,Durango,Nueva Vizcaya,Heroico Colegio Militar,103,34080.0,,24.03069,-104.64193,0.99,1.0,Avenida Heroico Colegio Militar,103.0,34080,24.0299982,-104.6422273,Durango,Nueva Vizcaya,None,Dgo.,Durango,MX,34080.0,0.0,,SUB
AV. PABLO A. GONZALEZ 1366,0,SANTA MARIA,64650.0,MONTERREY,NUEVO LEON,MEXICO,MONTERREY,Nuevo León,Monterrey,Monterrey,Santa María,Avenida Pablo A. Gonzalez,1366,64650.0,,25.6752,-100.36515,0.91,0.91,Avenida Insurgentes,300.0,64650,25.6810999,-100.3624191,Monterrey,La Escondida,None,N.L.,Nuevo León,MX,64650.0,1066.0,,FUZZ
CALLE DE LOS MAYOS  #1344  AN, ,CAMINO REAL,83178.0,HERMOSILLO,SONORA,MEXICO,HERMOSILLO,Sonora,Hermosillo,Hermosillo,Camino Real,Calle De Los Mayos,1344,83178.0,An,29.11819,-111.01316,0.91,1.0,Avenida de los Mayos,1382.0,83178,29.1181854,-111.0152712,Hermosillo,Sahuaro,None,Son.,Sonora,MX,83178.0,38.0,,FUZZ
BLVD. SAN FELIPE 1010,1010,REAL DEL MONTE,72060.0,PUEBLA,PUEBLA,MEXICO,PUEBLA,Puebla,Puebla,Puebla,Real Del Monte,Boulevard San Felipe,1010,72060.0,,19.0646831,-98.2208748,1.0,1.0,Boulevard San Felipe,1010.0,72060,19.0646831,-98.2208748,Heroica Puebla de Zaragoza,Real del Monte,None,Pue.,Puebla,MX,72060.0,0.0,,EXACT
NINOS HEROES,SN LT LT11 MZ M,PEDREGOSO,39407.0,ACAPULCO,GUERRERO,MEXICO,ACAPULCO DE JUAREZ,Guerrero,Acapulco de Juárez,Acapulco de Juárez,Pedregoso,Niños Héroes,SN,39407.0,Lt Lt11 Mz M,16.92237,-99.96096,1.0,0.5,Las Flores,0.0,39407,16.8974937,-99.9604735,Acapulco de Juárez,Pie de la Cuesta,None,Gro.,Guerrero,MX,39407.0,0.0,,FUZZ
PASEO OERA,2 9,LOMAS DE ANGELOPOLIS,72830.0,SAN ANDRES CHOLULA,PUEBLA,MEXICO,SAN ANDRES CHOLULA,Puebla,San Andrés Cholula,San Andrés Cholula,Lomas de Angelópolis,Paseo Opera,29,72830.0,,18.99403,-98.27678,0.93,0.8,Paseo Opera,9.0,72830,18.9934127,-98.2771137,San Andrés Cholula,None,Lomas de Angelópolis,Pue.,Puebla,MX,72830.0,20.0,,EXACT
1 CDA DE PRESA 2,2,CUAUHTEMOC,10020.0,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MEXICO,MAGDALENA CONTRERAS,Ciudad de México,La Magdalena Contreras,Ciudad de México,Cuauhtémoc,1a Cerrada De Presa,2,10020.0,,19.31851,-99.24009,0.94,0.97,4A CERRADA DE PRESA,0.0,10020,19.3184658944,-99.2413603386,,cuauhtemoc,,,,,10020.0,2.0,magdalena contreras,FUZZ
OCURR,WW,TULANCINGO CENTRO,43600.0,TULANCINGO,HIDALGO,MEXICO,TULANCINGO DE BRAVO,Hidalgo,Tulancingo de Bravo,Tulancingo,Tulancingo Centro,Occur Ww,,43600.0,,20.083029,-98.370462,0.3,1.0,Ocampo Sur,0.0,43600,20.0786083,-98.3733484,Tulancingo de Bravo,Centro,None,Hgo.,Hidalgo,MX,43600.0,0.0,,FUZZ
CALLE RUIZ GALINDO,155,IXTACZOQUITLAN CENTRO,94460.0,IXTACZOQUITLAN,VERACRUZ,MEXICO,IXTACZOQUITLAN,Veracruz de Ignacio de la Llave,Ixtaczoquitlán,Ixtaczoquitlán,Ixtaczoquitlan Centro,Calle Ruiz Galindo,155,94460.0,,18.8550957,-97.0621791,0.8,0.8,Calle Ruiz Galindo,155.0,94460,18.8550561,-97.0621065,Ixtaczoquitlán,El Santisimo,None,Ver.,Veracruz,MX,94460.0,0.0,,EXACT
AMBROSIO FIGUEROA 10, ,SAN ANTONIO,40186.0,ZUMPANGO DEL RIO,GUERRERO,MEXICO,EDUARDO NERI,Guerrero,Eduardo Neri,Zumpango del Río,San Antonio,Ambrosio Figueroa,10,40186.0,,17.64691,-99.52387,0.98,0.8,Fernando Montes de Oca,0.0,40186,17.6455804,-99.5213688,Zumpango del Río,Santa Cecilia,None,Gro.,Guerrero,MX,40186.0,10.0,,FUZZ
60 X 59 Y 61,499,MERIDA CENTRO,97000.0,MERIDA,YUCATAN,MEXICO,MERIDA,Yucatán,Mérida,Mérida,Mérida Centro,Calle 60,499,97000.0,Entre Calle 59 Y Calle 61,20.96812,-89.62294,1.0,1.0,Calle 60,496.0,97000,20.9682059,-89.62269,Mérida,Centro,None,Yuc.,Yucatán,MX,97000.0,3.0,,EXACT
CALLE MINA PALOMAS DE ORO,206,MINERA,98050.0,ZACATECAS,ZACATECAS,MEXICO,ZACATECAS,Zacatecas,Zacatecas,Zacatecas,Minera,Calle Mina Palomas de Oro,206,98050.0,,22.76939,-102.5841,1.0,1.0,Real de Minas,118.0,98050,22.7729207,-102.5858472,Zacatecas,Minera,Zona A,Zac.,Zacatecas,MX,98050.0,88.0,,FUZZ
DR.JUAN DE DIOS TREVINO,146B,SAN JERONIMO,64640.0,MONTERREY,NUEVO LEON,MEXICO,MONTERREY,Nuevo León,Monterrey,Monterrey,San Jerónimo,Dr. Juan de Dios Treviño,146B,64640.0,,25.6756,-100.3541,0.91,0.91,Doctor Juan de Dios Treviño,203.0,64640,25.6752846,-100.3545263,Monterrey,San Jerónimo,None,N.L.,Nuevo León,MX,64640.0,57.0,,FUZZ
ANDADOR 16 DE FERNANDO AMILPA NO 20 COL CTM EL RISCO C.T.M. EL RISCO,--,C.T.M. EL RISCO,7090.0,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MEXICO,GUSTAVO A MADERO,Ciudad de México,Gustavo A. Madero,Ciudad de México,CTM El Risco,Andador 16 de Fernando Amilpa,20,7090.0,CTM El Risco,19.50888,-99.0983,0.95,0.95,ANDADOR 18 DE FERNANDO AMILPA,3.0,7090,19.5074490083,-99.0948323748,,ctm el risco,,,,,7090.0,17.0,gustavo a. madero,FUZZ
QUEVEDO 1213,0,MARIA DE LA PIEDAD,96410.0,COATZACOALCOS,VERACRUZ,MEXICO,COATZACOALCOS,Veracruz de Ignacio de la Llave,Coatzacoalcos,Coatzacoalcos,Maria de La Piedad,Quevedo,1213,96410.0,,18.14975,-94.43186,0.99,1.0,Avenida Miguel A. Quevedo,1304.0,96410,18.149923,-94.4331013,Coatzacoalcos,Maria de la Piedad,None,Ver.,Veracruz,MX,96410.0,91.0,,SUB
"FRANCISCO JAVIER MINA, #29. ENTREGA EN: , PISO: , ACCESIBLE POR: , ENTRE CALLES:",29,MARGARITA MAZA DE JUAREZ,52926.0,CIUDAD ADOLFO LOPEZ MATEOS,ESTADO DE MEXICO,MEXICO,ATIZAPAN DE ZARAGOZA,México,Atizapán de Zaragoza,Ciudad Adolfo López Mateos,Margarita Maza de Juárez,Francisco Javier Mina,29,52926.0,,19.59135,-99.22601,1.0,1.0,Francisco Javier Mina,134.0,52926,19.27136675,-99.00169909,Ciudad López Mateos,Margarita Maza de Juárez,None,CDMX,Ciudad de México,MX,52926.0,105.0,,EXACT
"16 DE SEPTIEMBRE ESQUINA VENUSTIANO CARRANZA COLONIA MIGUEL, #LOTE 1. ENTREGA EN",LOTE 1,MIGUEL HIDALGO (RESURRECCION),72308.0,PUEBLA,PUEBLA,MEXICO,PUEBLA,Puebla,Puebla,Puebla,Miguel Hidalgo (Resurrección),16 de Septiembre,Lote 1,72308.0,Esquina Venustiano Carranza,19.0058487,-98.2200821,0.5,0.5,Avenida 16 de Septiembre,9416.0,72308,19.0663013,-98.1380388,Heroica Puebla de Zaragoza,Miguel Hidalgo,None,Pue.,Puebla,MX,72308.0,9415.0,,SUB
ALDAMA,131,IGUALA DE LA INDEPENDENCIA CENTRO,40000.0,IGUALA,GUERRERO,MEXICO,IGUALA DE LA INDEPENDENCIA,Guerrero,Iguala de la Independencia,Iguala de la Independencia,Iguala de La Independencia Centro,Aldama,131,40000.0,,18.34172,-99.53118,0.99,1.0,Aldama,200.0,40000,18.3414609,-99.5312774,Iguala de la Independencia,Centro,None,Gro.,Guerrero,MX,40000.0,69.0,,EXACT
BLVD. NAZARIO ORTIZ GARZA # 3385,0,LOS DOCTORES,25250.0,SALTILLO,COAHUILA,MEXICO,SALTILLO,Coahuila de Zaragoza,Saltillo,Saltillo,Los Doctores,Boulevard Nazario Ortiz Garza,3385,25250.0,,25.4631,-100.97898,0.93,0.8,Boulevard Nazario Ortiz Garza,335.0,25250,25.4629584,-100.9788722,Saltillo,Los Doctores,None,Coah.,Coahuila de Zaragoza,MX,25250.0,3050.0,,EXACT
AV. DE LOS INSURGENTES,840,SAN JUAN,63130.0,TEPIC,NAYARIT,MEXICO,TEPIC,Nayarit,Tepic,Tepic,San Juan,Avenida de los Insurgentes,840,63130.0,,21.5138,-104.90934,0.93,1.0,Avenida Jacarandas,250.0,63130,21.5051756,-104.9084186,Tepic,Versalles Sur,None,Nay.,Nayarit,MX,63130.0,590.0,,FUZZ
CLORO,102,CIUDAD INDUSTRIAL,86010.0,VILLAHERMOSA,TABASCO,MEXICO,CENTRO,Tabasco,Centro,Villahermosa,Fideicomiso Ciudad Industrial,Cloro,102,86010.0,,18.0455651,-92.901182,1.0,1.0,Calle Xochicalco,202.0,86010,18.0262278,-92.9023016,Villahermosa,INFONAVIT Ciudad Industrial,None,Tab.,Tabasco,MX,86010.0,100.0,,FUZZ
DR. GENOVEVO FIGUEROA ZAMUDIO,65,LAZARO CARDENAS,60630.0,APATZINGAN DE LA CONSTITUCION,MICHOACAN,MEXICO,APATZINGAN,Michoacán de Ocampo,Apatzingán,Apatzingán de la Constitución,Lázaro Cárdenas,Dr. Genovevo Figueroa Zamudio,65,60630.0,,19.0995853,-102.3492511,0.3,0.3,Camilo Arriaga,487.0,60630,19.0987455,-102.3426947,Apatzingán de la Constitución,Lázaro Cárdenas,None,Mich.,Michoacán,MX,60630.0,422.0,,FUZZ
"DEL REFUGIO D, NO.1-",2,EL REFUGIO,72495.0,PUEBLA,PUEBLA,MEXICO,PUEBLA,Puebla,Puebla,Puebla,El Refugio,Del Refugio,1-2,72495.0,,18.96784,-98.24126,0.99,1.0,Del Refugio,8.0,72495,18.9718497,-98.250066,Heroica Puebla de Zaragoza,San Juan Bautista,None,Pue.,Puebla,MX,72495.0,7.0,,EXACT
LAGO DE CUQUIO,240,BRISAS DEL LAGO,37207.0,LEON,GUANAJUATO,MEXICO,LEON,Guanajuato,León,León,Brisas del Lago,Lago de Cuquío,240,37207.0,,21.16969,-101.65301,0.99,0.93,Lago de Cuquio,249.0,37207,21.1687251,-101.6527736,León,Brisas del Lago,None,Gto.,Guanajuato,MX,37207.0,9.0,,FUZZ
CLEMENTINA AGUIRRE,104,RODOLFO LANDEROS GALLEGOS,20170.0,AGUASCALIENTES,AGUASCALIENTES,MEXICO,AGUASCALIENTES,Aguascalientes,Aguascalientes,Aguascalientes,Rodolfo Landeros Gallegos,Clementina Aguirre,104,20170.0,,21.90099,-102.25275,0.99,1.0,Avenida Ojocaliente,203.0,20170,21.9046682,-102.2633981,Aguascalientes,Nazario Ortiz Garza,None,Ags.,Aguascalientes,MX,20170.0,99.0,,FUZZ
